method,kappa,size,index,instance,rep,seed,runtime_s,iterations_completed,termination_reason,status
DABC,3,20,10,N20_K3_M18_I10,0,7213488,86.49926853179932,101,iteration_limit,success
DABC,3,20,10,N20_K3_M18_I10,1,4068738,86.9449257850647,101,iteration_limit,success
DABC,3,20,60,N20_K3_M18_I60,0,7213488,88.1907389163971,101,iteration_limit,success
DABC,3,20,60,N20_K3_M18_I60,1,4068738,87.0540223121643,101,iteration_limit,success
DIWO,3,20,10,N20_K3_M18_I10,0,9562004,192.50275373458862,101,iteration_limit,success
DIWO,3,20,10,N20_K3_M18_I10,1,2008813,190.1138048171997,101,iteration_limit,success
DIWO,3,20,60,N20_K3_M18_I60,0,9562004,190.83441996574402,101,iteration_limit,success
DIWO,3,20,60,N20_K3_M18_I60,1,2008813,191.51975655555725,101,iteration_limit,success
DABC,3,50,10,N50_K3_M18_I10,0,7213488,207.74583196640015,101,iteration_limit,success
DABC,3,50,10,N50_K3_M18_I10,1,4068738,209.53069639205933,101,iteration_limit,success
DABC,3,50,60,N50_K3_M18_I60,0,7213488,208.43877005577087,101,iteration_limit,success
DABC,3,50,60,N50_K3_M18_I60,1,4068738,209.67839789390564,101,iteration_limit,success
DIWO,3,50,10,N50_K3_M18_I10,0,9562004,466.6564710140228,101,iteration_limit,success
DIWO,3,50,10,N50_K3_M18_I10,1,2008813,455.9015815258026,101,iteration_limit,success
DIWO,3,50,60,N50_K3_M18_I60,0,9562004,447.19117879867554,101,iteration_limit,success
DIWO,3,50,60,N50_K3_M18_I60,1,2008813,450.3185684680939,101,iteration_limit,success
DABC,3,100,10,N100_K3_M18_I10,0,7213488,420.25279474258423,101,iteration_limit,success
DABC,3,100,10,N100_K3_M18_I10,1,4068738,421.75536704063416,101,iteration_limit,success
DABC,3,100,60,N100_K3_M18_I60,0,7213488,415.23644852638245,101,iteration_limit,success
DABC,3,100,60,N100_K3_M18_I60,1,4068738,417.0278100967407,101,iteration_limit,success
DIWO,3,100,10,N100_K3_M18_I10,0,9562004,907.7906482219696,101,iteration_limit,success
DIWO,3,100,10,N100_K3_M18_I10,1,2008813,893.427229642868,101,iteration_limit,success
DIWO,3,100,60,N100_K3_M18_I60,0,9562004,902.0573275089264,101,iteration_limit,success
DIWO,3,100,60,N100_K3_M18_I60,1,2008813,909.2541444301605,101,iteration_limit,success
