method,kappa,size,mode,repeat,position,cost,duration_s
Co-HeT,2,10,greedy,1,29,10.24957275390625,0.04914379119873047
Co-HeT,2,10,greedy,1,30,6.832896709442139,0.05189251899719238
Co-HeT,2,10,greedy,1,31,9.416681289672852,0.052176475524902344
Co-HeT,2,10,greedy,1,32,6.936819553375244,0.05201292037963867
Co-HeT,2,10,greedy,1,33,5.875850677490234,0.051912784576416016
Co-HeT,2,10,greedy,1,34,8.3838529586792,0.05196547508239746
Co-HeT,2,10,greedy,1,35,8.24173641204834,0.05194449424743652
Co-HeT,2,10,greedy,1,36,7.348931789398193,0.05191373825073242
Co-HeT,2,10,greedy,1,37,11.04319953918457,0.05188179016113281
Co-HeT,2,10,greedy,1,38,8.43365478515625,0.0519251823425293
Co-HeT,2,10,greedy,1,39,7.913762092590332,0.05190634727478027
Co-HeT,2,10,greedy,1,40,10.189449310302734,0.0584416389465332
Co-HeT,2,10,greedy,1,41,7.902688026428223,0.04907536506652832
Co-HeT,2,10,greedy,1,42,9.4970703125,0.04894208908081055
Co-HeT,2,10,greedy,1,43,8.605348587036133,0.04897618293762207
Co-HeT,2,10,greedy,1,44,9.2509183883667,0.04886364936828613
Co-HeT,2,10,greedy,1,45,8.353164672851562,0.04884219169616699
Co-HeT,2,10,greedy,1,46,8.13027572631836,0.04888796806335449
Co-HeT,2,10,greedy,1,47,6.044904708862305,0.04894852638244629
Co-HeT,2,10,greedy,1,48,9.375564575195312,0.04890108108520508
Co-HeT,2,10,greedy,1,49,6.934069633483887,0.048941850662231445
Co-HeT,2,10,greedy,1,50,5.399694919586182,0.04895329475402832
Co-HeT,2,10,greedy,1,51,8.486738204956055,0.049045562744140625
Co-HeT,2,10,greedy,1,52,6.0738677978515625,0.04877924919128418
Co-HeT,2,10,greedy,1,53,9.049461364746094,0.048912763595581055
Co-HeT,2,10,greedy,1,54,6.50479793548584,0.04887533187866211
Co-HeT,2,10,greedy,1,55,8.052205085754395,0.04882979393005371
Co-HeT,2,10,greedy,1,56,8.0940580368042,0.048830509185791016
Co-HeT,2,10,greedy,1,57,7.01737117767334,0.048819541931152344
Co-HeT,2,10,greedy,1,58,8.082242012023926,0.048854827880859375
Co-HeT,2,10,greedy,1,59,9.973691940307617,0.048772573471069336
Co-HeT,2,10,greedy,1,60,6.597553730010986,0.048861026763916016
Co-HeT,2,10,greedy,1,61,8.813932418823242,0.048801422119140625
Co-HeT,2,10,greedy,1,62,7.48638391494751,0.04881906509399414
Co-HeT,2,10,greedy,1,63,8.634753227233887,0.04880571365356445
Co-HeT,2,10,greedy,1,64,7.579015254974365,0.04887270927429199
Co-HeT,2,10,greedy,1,65,8.452459335327148,0.04879903793334961
Co-HeT,2,10,greedy,1,66,6.909610271453857,0.04884624481201172
Co-HeT,2,10,greedy,1,67,7.598523139953613,0.04881453514099121
Co-HeT,2,10,greedy,1,68,8.43528938293457,0.0488734245300293
Co-HeT,2,10,greedy,1,69,8.058653831481934,0.048780202865600586
Co-HeT,2,10,greedy,1,70,8.40626335144043,0.04881882667541504
Co-HeT,2,10,greedy,1,71,7.819215774536133,0.04877901077270508
Co-HeT,2,10,greedy,1,72,8.464838981628418,0.04879951477050781
Co-HeT,2,10,greedy,1,73,7.203159809112549,0.04878687858581543
Co-HeT,2,10,greedy,1,74,9.003912925720215,0.04894590377807617
Co-HeT,2,10,greedy,1,75,9.304275512695312,0.04866957664489746
Co-HeT,2,10,greedy,1,76,8.099184036254883,0.048932790756225586
Co-HeT,2,10,greedy,1,77,6.683229446411133,0.04889822006225586
Co-HeT,2,10,greedy,1,78,8.476736068725586,0.04878735542297363
Co-HeT,2,10,greedy,1,79,8.52052116394043,0.048799753189086914
Co-HeT,2,10,greedy,1,80,6.760463714599609,0.048845767974853516
Co-HeT,2,10,greedy,1,81,8.07357406616211,0.04872941970825195
Co-HeT,2,10,greedy,1,82,10.114139556884766,0.0486905574798584
Co-HeT,2,10,greedy,1,83,8.250495910644531,0.04876422882080078
Co-HeT,2,10,greedy,1,84,7.4585723876953125,0.04876518249511719
Co-HeT,2,10,greedy,1,85,6.438791275024414,0.05951333045959473
Co-HeT,2,10,greedy,1,86,6.5346221923828125,0.0494387149810791
Co-HeT,2,10,greedy,1,87,6.2657694816589355,0.04887866973876953
Co-HeT,2,10,greedy,1,88,7.609087944030762,0.048792123794555664
Co-HeT,2,10,greedy,1,89,9.165348052978516,0.0487363338470459
Co-HeT,2,10,greedy,1,90,8.808236122131348,0.04882073402404785
Co-HeT,2,10,greedy,1,91,8.649065971374512,0.04878401756286621
Co-HeT,2,10,greedy,1,92,8.94989013671875,0.04878401756286621
Co-HeT,2,10,greedy,1,93,8.951728820800781,0.04875063896179199
Co-HeT,2,10,greedy,1,94,7.704159736633301,0.0488743782043457
Co-HeT,2,10,greedy,1,95,6.9858078956604,0.04892277717590332
Co-HeT,2,10,greedy,1,96,7.86267614364624,0.04909920692443848
Co-HeT,2,10,greedy,1,97,8.128748893737793,0.04882955551147461
Co-HeT,2,10,greedy,1,98,9.068883895874023,0.048827409744262695
Co-HeT,2,10,greedy,1,99,8.319079399108887,0.04885506629943848
Co-HeT,2,10,greedy,1,100,7.915316581726074,0.048819541931152344
Co-HeT,2,10,greedy,2,1,6.942248344421387,0.611396074295044
Co-HeT,2,10,greedy,2,2,8.249150276184082,0.05086922645568848
Co-HeT,2,10,greedy,2,3,6.8304948806762695,0.049364566802978516
