candidate_source,method,mode,rep,kappa,size,instance_index,instance_name,objective,distance,tardiness,runtime_s,status,objective_validation,objective_consistency_error,instance_hash_source
Gurobi,Gurobi,,,2,10,59,N10_K2_M12_I59,7.361499090709804,10.163544703007696,4.559453478411914,8.726999998092651,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,60,N10_K2_M12_I60,7.6489075272057345,10.774217371966634,4.5235976824448345,781.8029999732971,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,61,N10_K2_M12_I61,9.3360349714663,13.512406501239186,5.159663441693415,3600.0039999485016,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,10,62,N10_K2_M12_I62,6.717050976238757,8.927809271279001,4.506292681198513,647.2269999980927,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,63,N10_K2_M12_I63,5.509180434298094,9.267092261663718,1.75126860693247,114.1159999370575,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,64,N10_K2_M12_I64,8.75999720827431,11.867155051580845,5.652839364967777,11.468999862670898,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,65,N10_K2_M12_I65,7.890724685351836,10.232624087283387,5.548825283420286,322.0639998912811,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,66,N10_K2_M12_I66,8.352304823520122,12.29443083764664,4.410178809393602,1412.0940001010897,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,67,N10_K2_M12_I67,6.98664314953335,10.04900881539787,3.9242774836688303,120.70099997520448,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,68,N10_K2_M12_I68,7.637069048033927,10.977143758567916,4.296994337499938,40.89100003242493,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,69,N10_K2_M12_I69,9.112790183297935,11.601789420374162,6.6237909462217095,3600.0080001354218,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,70,N10_K2_M12_I70,8.522823394057202,10.243871370906394,6.8017754172080105,311.2519998550415,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,71,N10_K2_M12_I71,7.458572802446446,9.96613165215722,4.951013952735673,2870.9400000572205,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,72,N10_K2_M12_I72,7.479694902862383,10.73408006027374,4.225309745451026,650.412999868393,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,73,N10_K2_M12_I73,7.01715513399354,9.411329881969998,4.6229803860170815,1809.6110000610352,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,74,N10_K2_M12_I74,5.807890500412073,8.723303085956855,2.89247791486729,21.812999963760376,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,75,N10_K2_M12_I75,7.9478292917295486,10.275516726949284,5.620141856509813,200.63500022888184,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,76,N10_K2_M12_I76,8.019559096281892,9.807164654737443,6.231953537826339,3600.0060000419617,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,77,N10_K2_M12_I77,8.459384373101095,12.453935233812809,4.464833512389383,967.8010001182556,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,78,N10_K2_M12_I78,8.831343886646616,11.44414907799202,6.218538695301214,3600.0099999904637,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,79,N10_K2_M12_I79,8.23182583122965,10.683911922858057,5.779739739601244,3600.0250000953674,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,10,80,N10_K2_M12_I80,5.257834910713029,7.107622908611186,3.408046912814872,10.924999952316284,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,81,N10_K2_M12_I81,7.612541609872746,10.53432352227569,4.690759697469803,127.31900000572205,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,82,N10_K2_M12_I82,7.203159320341033,10.508165812831365,3.898152827850701,462.3230001926422,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,83,N10_K2_M12_I83,8.1935886213527,11.9951552583729,4.392021984332498,98.63100004196168,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,84,N10_K2_M12_I84,7.379188156845037,9.720280030029832,5.038096283660243,1155.664999961853,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,85,N10_K2_M12_I85,7.968207897442041,10.487251961182997,5.449163833701087,3600.005000114441,time_limit_feasible,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,86,N10_K2_M12_I86,7.702473376563734,11.388327590856544,4.016619162270926,8.323000192642212,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,87,N10_K2_M12_I87,8.809186131124026,11.44750546272468,6.170866799523369,506.4359998703003,optimal,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,10,88,N10_K2_M12_I88,8.711513061042144,10.414306797191756,7.0087193248925335,3600.005000114441,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,89,N10_K2_M12_I89,8.128272252387552,10.38771840872796,5.868826096047143,3600.0039999485016,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,90,N10_K2_M12_I90,6.534640775319687,9.911248870640062,3.1580326799993124,82.13599991798401,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,91,N10_K2_M12_I91,6.511601573058422,9.53212370068344,3.4910794454334035,134.40000009536743,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,92,N10_K2_M12_I92,7.884752178390036,9.719926878321932,6.049577478458141,803.8559999465942,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,93,N10_K2_M12_I93,7.780846594695564,11.43698679873252,4.124706390658608,134.85099983215332,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,94,N10_K2_M12_I94,9.288426180102768,12.201487472923803,6.375364887281728,3600.0080001354218,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,10,95,N10_K2_M12_I95,7.709523452022278,10.933336292471823,4.485710611572734,3600.00200009346,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,96,N10_K2_M12_I96,7.980658451646389,11.28269803966288,4.678618863629898,647.5039999485016,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,97,N10_K2_M12_I97,7.3909189450521104,8.55741856800276,6.224419322101461,560.7179999351501,optimal,components_recomputed,0.0,source_record
