category,method,mode,kappa,size,objective_n,mean_objective,time_n,mean_time_s,time_source
Sample-1280,MVMoE,sample1280,2,50,100,16.286270513534546,100,0.3223149251937866,rtx5090_median_of_five_run_means
Sample-1280,HDRL,sample1280,2,50,100,16.46578761100769,100,0.28605562925338746,rtx5090_median_of_five_run_means
Sample-1280,TDRL,sample1280,2,50,100,16.404345655441283,100,0.27781872272491454,rtx5090_median_of_five_run_means
Sample-1280,ECHO,sample1280,2,50,100,16.2535946559906,100,0.2382655429840088,rtx5090_median_of_five_run_means
Sample-1280,Co-HeT,sample1280,2,50,100,14.852171993255615,100,0.3229770612716675,rtx5090_median_of_five_run_means
Sample-1280,AM,sample1280,2,100,100,24.37613618850708,100,0.5065932846069336,rtx5090_median_of_five_run_means
Sample-1280,MVMoE,sample1280,2,100,100,23.24372049331665,100,0.6361999845504761,rtx5090_median_of_five_run_means
Sample-1280,HDRL,sample1280,2,100,100,33.973384590148925,100,0.7492344522476196,rtx5090_median_of_five_run_means
Sample-1280,TDRL,sample1280,2,100,100,23.61521448135376,100,0.5732643413543701,rtx5090_median_of_five_run_means
Sample-1280,ECHO,sample1280,2,100,100,23.41518985748291,100,0.5027190256118774,rtx5090_median_of_five_run_means
Sample-1280,Co-HeT,sample1280,2,100,100,21.10037363052368,100,0.8485122752189637,rtx5090_median_of_five_run_means
Sample-1280,AM,sample1280,3,10,100,10.5406445646286,100,0.06445719957351685,rtx5090_median_of_five_run_means
Sample-1280,MVMoE,sample1280,3,10,100,10.604015130996704,100,0.08623345851898194,rtx5090_median_of_five_run_means
Sample-1280,HDRL,sample1280,3,10,100,10.474717674255372,100,0.06551075220108032,rtx5090_median_of_five_run_means
Sample-1280,TDRL,sample1280,3,10,100,10.43057315349579,100,0.07904230833053588,rtx5090_median_of_five_run_means
Sample-1280,ECHO,sample1280,3,10,100,10.569228172302246,100,0.06392236232757569,rtx5090_median_of_five_run_means
Sample-1280,Co-HeT,sample1280,3,10,100,10.491662549972535,100,0.07347171545028687,rtx5090_median_of_five_run_means
Sample-1280,AM,sample1280,3,20,100,14.621044387817383,100,0.12238699197769165,rtx5090_median_of_five_run_means
Sample-1280,MVMoE,sample1280,3,20,100,14.63570779800415,100,0.16486419677734376,rtx5090_median_of_five_run_means
Sample-1280,HDRL,sample1280,3,20,100,14.41587903022766,100,0.12668228149414062,rtx5090_median_of_five_run_means
Sample-1280,TDRL,sample1280,3,20,100,14.665163850784301,100,0.15008443117141723,rtx5090_median_of_five_run_means
Sample-1280,ECHO,sample1280,3,20,100,14.723575496673584,100,0.12120047807693482,rtx5090_median_of_five_run_means
Sample-1280,Co-HeT,sample1280,3,20,100,14.161572132110596,100,0.13834593534469605,rtx5090_median_of_five_run_means
Sample-1280,AM,sample1280,3,50,100,23.730783290863037,100,0.29285009145736696,rtx5090_median_of_five_run_means
Sample-1280,MVMoE,sample1280,3,50,100,23.65377275466919,100,0.39771591663360595,rtx5090_median_of_five_run_means
Sample-1280,HDRL,sample1280,3,50,100,24.197987613677977,100,0.3786294746398926,rtx5090_median_of_five_run_means
Sample-1280,TDRL,sample1280,3,50,100,24.23390121459961,100,0.3615763854980469,rtx5090_median_of_five_run_means
Sample-1280,ECHO,sample1280,3,50,100,23.703550605773927,100,0.2937198352813721,rtx5090_median_of_five_run_means
Sample-1280,Co-HeT,sample1280,3,50,100,22.13175495147705,100,0.3879839897155762,rtx5090_median_of_five_run_means
Sample-1280,AM,sample1280,3,100,100,34.53032337188721,100,0.6078108930587769,rtx5090_median_of_five_run_means
Sample-1280,MVMoE,sample1280,3,100,100,33.43700260162353,100,0.7886948871612549,rtx5090_median_of_five_run_means
Sample-1280,HDRL,sample1280,3,100,100,37.572043800354,100,0.9951858115196228,rtx5090_median_of_five_run_means
Sample-1280,TDRL,sample1280,3,100,100,34.89487228393555,100,0.7473680186271667,rtx5090_median_of_five_run_means
Sample-1280,ECHO,sample1280,3,100,100,34.216033363342284,100,0.5966666316986085,rtx5090_median_of_five_run_means
Sample-1280,Co-HeT,sample1280,3,100,100,31.087868938446046,100,0.9882156467437744,rtx5090_median_of_five_run_means
