job_id,attempt,status,kappa,size,index,instance,method,rep,seed,objective,distance,tardiness,runtime_s,iterations_completed,termination_reason,error
k2_n10_i003_diwo_r003,1,success,2,10,3,N10_K2_M12_I3,DIWO,3,1310872,8.121420800530126,11.529954261407477,4.7128873396527755,248.27095484733582,101,iteration_limit,
k2_n10_i004_alns_r000,1,success,2,10,4,N10_K2_M12_I4,ALNS,0,6345575,9.903658816165157,14.422460575378718,5.3848570569515966,5.664682149887085,101,iteration_limit,
k2_n10_i004_alns_r001,1,success,2,10,4,N10_K2_M12_I4,ALNS,1,8344000,9.332863323275625,12.712445459987912,5.953281186563336,6.757918119430542,101,iteration_limit,
k2_n10_i004_alns_r002,1,success,2,10,4,N10_K2_M12_I4,ALNS,2,790809,9.75089808258403,12.654844383897439,6.84695178127062,7.524980306625366,101,iteration_limit,
k2_n10_i004_alns_r003,1,success,2,10,4,N10_K2_M12_I4,ALNS,3,7646059,10.122826442397594,12.374409366604993,7.871243518190195,6.265904903411865,101,iteration_limit,
k2_n10_i004_iga_r000,1,success,2,10,4,N10_K2_M12_I4,IGA,0,4708410,9.349476876036785,13.314096695121975,5.384857056951597,22.077654361724854,101,iteration_limit,
k2_n10_i004_iga_r001,1,success,2,10,4,N10_K2_M12_I4,IGA,1,7195532,9.332863323275623,12.71244545998791,5.953281186563336,20.569560289382935,101,iteration_limit,
k2_n10_i004_iga_r002,1,success,2,10,4,N10_K2_M12_I4,IGA,2,9193957,9.28181310861888,11.716674435967143,6.84695178127062,27.06332039833069,101,iteration_limit,
k2_n10_i004_iga_r003,1,success,2,10,4,N10_K2_M12_I4,IGA,3,6497591,9.28181310861888,11.716674435967143,6.84695178127062,25.453659296035767,101,iteration_limit,
k2_n10_i004_dabc_r000,1,success,2,10,4,N10_K2_M12_I4,DABC,0,7213488,9.332863323275623,12.71244545998791,5.953281186563336,110.87213039398193,101,iteration_limit,
k2_n10_i004_dabc_r001,1,success,2,10,4,N10_K2_M12_I4,DABC,1,4068738,9.28181310861888,11.716674435967143,6.84695178127062,116.63877701759338,101,iteration_limit,
k2_n10_i004_dabc_r002,1,success,2,10,4,N10_K2_M12_I4,DABC,2,1699035,9.332863323275621,12.712445459987908,5.953281186563336,109.10600280761719,101,iteration_limit,
k2_n10_i004_dabc_r003,1,success,2,10,4,N10_K2_M12_I4,DABC,3,4145844,9.281813108618882,11.716674435967144,6.846951781270621,110.00648856163025,101,iteration_limit,
k2_n10_i004_diwo_r000,1,success,2,10,4,N10_K2_M12_I4,DIWO,0,9562004,9.28181310861888,11.716674435967143,6.84695178127062,203.55100750923157,101,iteration_limit,
k2_n10_i004_diwo_r001,1,success,2,10,4,N10_K2_M12_I4,DIWO,1,2008813,9.28181310861888,11.716674435967143,6.84695178127062,248.37336897850037,101,iteration_limit,
k2_n10_i004_diwo_r002,1,success,2,10,4,N10_K2_M12_I4,DIWO,2,4007238,9.332863323275621,12.712445459987908,5.953281186563336,222.59668588638306,101,iteration_limit,
k2_n10_i004_diwo_r003,1,success,2,10,4,N10_K2_M12_I4,DIWO,3,1310872,9.332863323275621,12.712445459987908,5.953281186563336,200.5149118900299,101,iteration_limit,
k2_n10_i005_alns_r000,1,success,2,10,5,N10_K2_M12_I5,ALNS,0,6345575,9.327685032948157,13.360657276962653,5.29471278893366,3.8142316341400146,101,iteration_limit,
k2_n10_i005_alns_r001,1,success,2,10,5,N10_K2_M12_I5,ALNS,1,8344000,9.820197550098793,13.422074234499538,6.21832086569805,6.495888710021973,101,iteration_limit,
k2_n10_i005_alns_r002,1,success,2,10,5,N10_K2_M12_I5,ALNS,2,790809,9.327399692490586,11.234046583489215,7.420752801491956,7.157896995544434,101,iteration_limit,
k2_n10_i005_alns_r003,1,success,2,10,5,N10_K2_M12_I5,ALNS,3,7646059,9.327685032948157,13.360657276962655,5.29471278893366,7.016828536987305,101,iteration_limit,
k2_n10_i005_iga_r000,1,success,2,10,5,N10_K2_M12_I5,IGA,0,4708410,9.266033119969478,12.035521956514577,6.496544283424381,56.029496908187866,101,iteration_limit,
k2_n10_i005_iga_r001,1,success,2,10,5,N10_K2_M12_I5,IGA,1,7195532,9.217801242179911,12.42035997709121,6.015242507268614,29.17979884147644,101,iteration_limit,
k2_n10_i005_iga_r002,1,success,2,10,5,N10_K2_M12_I5,IGA,2,9193957,9.217801242179911,12.42035997709121,6.015242507268614,31.12125873565674,101,iteration_limit,
k2_n10_i005_iga_r003,1,success,2,10,5,N10_K2_M12_I5,IGA,3,6497591,9.217801242179911,12.42035997709121,6.015242507268614,43.431705951690674,101,iteration_limit,
k2_n10_i005_dabc_r000,1,success,2,10,5,N10_K2_M12_I5,DABC,0,7213488,9.217801242179911,12.42035997709121,6.015242507268614,67.5366439819336,101,iteration_limit,
k2_n10_i005_dabc_r001,1,success,2,10,5,N10_K2_M12_I5,DABC,1,4068738,9.217801242179911,12.42035997709121,6.015242507268614,118.78682017326355,101,iteration_limit,
k2_n10_i005_dabc_r002,1,success,2,10,5,N10_K2_M12_I5,DABC,2,1699035,9.226726264870548,12.438210022472482,6.015242507268614,98.06451940536499,101,iteration_limit,
k2_n10_i005_dabc_r003,1,success,2,10,5,N10_K2_M12_I5,DABC,3,4145844,9.266033119969478,12.035521956514577,6.496544283424381,121.046306848526,101,iteration_limit,
k2_n10_i005_diwo_r000,1,success,2,10,5,N10_K2_M12_I5,DIWO,0,9562004,9.217801242179911,12.42035997709121,6.015242507268614,184.1666419506073,101,iteration_limit,
k2_n10_i005_diwo_r001,1,success,2,10,5,N10_K2_M12_I5,DIWO,1,2008813,9.217801242179911,12.42035997709121,6.015242507268614,253.83936882019043,101,iteration_limit,
k2_n10_i005_diwo_r002,1,success,2,10,5,N10_K2_M12_I5,DIWO,2,4007238,9.217801242179911,12.42035997709121,6.015242507268614,266.91313791275024,101,iteration_limit,
k2_n10_i005_diwo_r003,1,success,2,10,5,N10_K2_M12_I5,DIWO,3,1310872,9.266033119969478,12.035521956514577,6.496544283424381,175.10101890563965,101,iteration_limit,
k2_n10_i006_alns_r000,1,success,2,10,6,N10_K2_M12_I6,ALNS,0,6345575,11.137388966348919,13.268579916282484,9.006198016415356,8.257310390472412,101,iteration_limit,
k2_n10_i006_alns_r001,1,success,2,10,6,N10_K2_M12_I6,ALNS,1,8344000,11.032942619105139,11.210634110292395,10.855251127917885,7.640948057174683,101,iteration_limit,
k2_n10_i006_alns_r002,1,success,2,10,6,N10_K2_M12_I6,ALNS,2,790809,11.032942619105139,11.210634110292395,10.855251127917885,4.631541967391968,101,iteration_limit,
k2_n10_i006_alns_r003,1,success,2,10,6,N10_K2_M12_I6,ALNS,3,7646059,11.117231714557578,11.89673348843091,10.337729940684246,4.849756479263306,101,iteration_limit,
k2_n10_i006_iga_r000,1,success,2,10,6,N10_K2_M12_I6,IGA,0,4708410,10.988450336806974,12.73559665121209,9.24130402240186,16.02978801727295,101,iteration_limit,
k2_n10_i006_iga_r001,1,success,2,10,6,N10_K2_M12_I6,IGA,1,7195532,10.993006510659333,12.533434962696095,9.45257805862257,18.479039430618286,101,iteration_limit,
k2_n10_i006_iga_r002,1,success,2,10,6,N10_K2_M12_I6,IGA,2,9193957,10.988450336806974,12.73559665121209,9.24130402240186,24.12788462638855,101,iteration_limit,
k2_n10_i006_iga_r003,1,success,2,10,6,N10_K2_M12_I6,IGA,3,6497591,10.901960948107579,12.081974312750665,9.721947583464493,35.67750668525696,101,iteration_limit,
k2_n10_i006_dabc_r000,1,success,2,10,6,N10_K2_M12_I6,DABC,0,7213488,10.901960948107579,12.081974312750665,9.721947583464493,128.3211269378662,101,iteration_limit,
k2_n10_i006_dabc_r001,1,success,2,10,6,N10_K2_M12_I6,DABC,1,4068738,10.901960948107579,12.081974312750667,9.721947583464493,107.1518874168396,101,iteration_limit,
k2_n10_i006_dabc_r002,1,success,2,10,6,N10_K2_M12_I6,DABC,2,1699035,10.957601717048474,12.741797268545156,9.173406165551793,129.01059222221375,101,iteration_limit,
k2_n10_i006_dabc_r003,1,success,2,10,6,N10_K2_M12_I6,DABC,3,4145844,10.901960948107579,12.081974312750665,9.721947583464493,111.76657247543335,101,iteration_limit,
k2_n10_i006_diwo_r000,1,success,2,10,6,N10_K2_M12_I6,DIWO,0,9562004,10.901960948107579,12.081974312750665,9.721947583464493,201.9434530735016,101,iteration_limit,
k2_n10_i006_diwo_r001,1,success,2,10,6,N10_K2_M12_I6,DIWO,1,2008813,10.901960948107579,12.081974312750667,9.721947583464493,237.38065910339355,101,iteration_limit,
k2_n10_i006_diwo_r002,1,success,2,10,6,N10_K2_M12_I6,DIWO,2,4007238,10.901960948107579,12.081974312750665,9.721947583464493,229.54437828063965,101,iteration_limit,
k2_n10_i006_diwo_r003,1,success,2,10,6,N10_K2_M12_I6,DIWO,3,1310872,10.901960948107579,12.081974312750665,9.721947583464493,190.12502574920654,101,iteration_limit,
k2_n10_i007_alns_r000,1,success,2,10,7,N10_K2_M12_I7,ALNS,0,6345575,7.038524197235433,10.628405771952975,3.4486426225178906,4.9546356201171875,101,iteration_limit,
k2_n10_i007_alns_r001,1,success,2,10,7,N10_K2_M12_I7,ALNS,1,8344000,6.8393291061135315,10.348068098543694,3.33059011368337,9.772735118865967,101,iteration_limit,
k2_n10_i007_alns_r002,1,success,2,10,7,N10_K2_M12_I7,ALNS,2,790809,6.8393291061135315,10.348068098543694,3.33059011368337,9.936882257461548,101,iteration_limit,
k2_n10_i007_alns_r003,1,success,2,10,7,N10_K2_M12_I7,ALNS,3,7646059,6.78030285169627,10.23001558970917,3.33059011368337,9.873451709747314,101,iteration_limit,
k2_n10_i007_iga_r000,1,success,2,10,7,N10_K2_M12_I7,IGA,0,4708410,7.067975529296485,10.604260360364936,3.5316906982280347,37.348026514053345,101,iteration_limit,
k2_n10_i007_iga_r001,1,success,2,10,7,N10_K2_M12_I7,IGA,1,7195532,6.78030285169627,10.23001558970917,3.33059011368337,30.398874282836914,101,iteration_limit,
k2_n10_i007_iga_r002,1,success,2,10,7,N10_K2_M12_I7,IGA,2,9193957,6.851241043294268,10.371891972905164,3.33059011368337,32.54293203353882,101,iteration_limit,
k2_n10_i007_iga_r003,1,success,2,10,7,N10_K2_M12_I7,IGA,3,6497591,6.78030285169627,10.23001558970917,3.33059011368337,34.17703461647034,101,iteration_limit,
k2_n10_i007_dabc_r000,1,success,2,10,7,N10_K2_M12_I7,DABC,0,7213488,6.847343494911229,10.364096876139088,3.33059011368337,91.67689156532288,101,iteration_limit,
k2_n10_i007_dabc_r001,1,success,2,10,7,N10_K2_M12_I7,DABC,1,4068738,6.780302851696272,10.230015589709172,3.33059011368337,130.0528974533081,101,iteration_limit,
k2_n10_i007_dabc_r002,1,success,2,10,7,N10_K2_M12_I7,DABC,2,1699035,6.780302851696272,10.230015589709174,3.33059011368337,129.34677982330322,101,iteration_limit,
k2_n10_i007_dabc_r003,1,success,2,10,7,N10_K2_M12_I7,DABC,3,4145844,6.812578679544668,10.294567245405965,3.33059011368337,184.87880086898804,101,iteration_limit,
k2_n10_i007_diwo_r000,1,success,2,10,7,N10_K2_M12_I7,DIWO,0,9562004,6.78030285169627,10.23001558970917,3.33059011368337,259.04962372779846,101,iteration_limit,
k2_n10_i007_diwo_r001,1,success,2,10,7,N10_K2_M12_I7,DIWO,1,2008813,6.8393291061135315,10.348068098543694,3.33059011368337,245.72956132888794,101,iteration_limit,
k2_n10_i007_diwo_r002,1,success,2,10,7,N10_K2_M12_I7,DIWO,2,4007238,6.78030285169627,10.23001558970917,3.33059011368337,209.6631565093994,101,iteration_limit,
k2_n10_i007_diwo_r003,1,success,2,10,7,N10_K2_M12_I7,DIWO,3,1310872,6.780302851696272,10.230015589709174,3.33059011368337,247.93742871284485,101,iteration_limit,
k2_n10_i008_alns_r000,1,success,2,10,8,N10_K2_M12_I8,ALNS,0,6345575,8.330551076342982,11.491255586976317,5.169846565709646,6.233336448669434,101,iteration_limit,
k2_n10_i008_alns_r001,1,success,2,10,8,N10_K2_M12_I8,ALNS,1,8344000,8.366237114046259,11.349797612825213,5.382676615267305,12.5476713180542,101,iteration_limit,
