category,method,mode,kappa,size,instance_index,instance_name,repetition_n,mean_objective,bks_objective,rpd
MILP,Gurobi,,2,10,97,N10_K2_M12_I97,1,7.3909189450521104,7.3909189450521104,0.0
MILP,Gurobi,,2,10,98,N10_K2_M12_I98,1,7.41069780817117,7.410697808171169,1.1985084842088739e-14
MILP,Gurobi,,2,10,99,N10_K2_M12_I99,1,7.155461827015067,7.155461827015067,0.0
MILP,Gurobi,,2,10,100,N10_K2_M12_I100,1,8.67162407600949,8.67162407600949,0.0
MILP,Gurobi,,2,20,1,N20_K2_M12_I1,1,10.387736227099705,10.387736227099705,0.0
MILP,Gurobi,,2,20,2,N20_K2_M12_I2,1,10.435541437287345,10.415663909160518,0.19084264143109192
MILP,Gurobi,,2,20,3,N20_K2_M12_I3,1,9.533205513568603,9.50480413048031,0.2988108192278853
MILP,Gurobi,,2,20,4,N20_K2_M12_I4,1,8.144266535520975,8.144266535520975,0.0
MILP,Gurobi,,2,20,5,N20_K2_M12_I5,1,9.150387188347718,9.14690868475009,0.03802928090260956
MILP,Gurobi,,2,20,6,N20_K2_M12_I6,1,11.139249624779902,11.010277971107955,1.1713750916224
MILP,Gurobi,,2,20,7,N20_K2_M12_I7,1,11.900681640062304,11.831584051604336,0.5840096149137224
MILP,Gurobi,,2,20,8,N20_K2_M12_I8,1,11.011806847492297,10.961409750374138,0.4597683898865192
MILP,Gurobi,,2,20,9,N20_K2_M12_I9,1,10.288495948419074,10.15610122680664,1.3035978930869918
MILP,Gurobi,,2,20,10,N20_K2_M12_I10,1,10.504801034599726,10.504801034599726,0.0
MILP,Gurobi,,2,20,11,N20_K2_M12_I11,1,10.503130026304657,10.468805249956947,0.32787673023003877
MILP,Gurobi,,2,20,12,N20_K2_M12_I12,1,7.10261184163028,7.10261184163028,0.0
MILP,Gurobi,,2,20,13,N20_K2_M12_I13,1,10.23683627468939,10.046999278672656,1.889489495830975
MILP,Gurobi,,2,20,14,N20_K2_M12_I14,1,8.473517088502243,8.473517088502243,0.0
MILP,Gurobi,,2,20,15,N20_K2_M12_I15,1,9.323911936526358,9.084482477047723,2.63558722341709
MILP,Gurobi,,2,20,16,N20_K2_M12_I16,1,10.221532022060003,10.13935459064177,0.810479904648771
MILP,Gurobi,,2,20,17,N20_K2_M12_I17,1,9.523753283817696,9.41071605682373,1.2011543681843604
MILP,Gurobi,,2,20,18,N20_K2_M12_I18,1,10.186709147047548,10.186709147047548,0.0
MILP,Gurobi,,2,20,19,N20_K2_M12_I19,1,9.18735759541978,9.18735759541978,0.0
MILP,Gurobi,,2,20,20,N20_K2_M12_I20,1,10.604408379444422,10.604408379444422,0.0
MILP,Gurobi,,2,20,21,N20_K2_M12_I21,1,10.928217877353038,10.928217877353038,0.0
MILP,Gurobi,,2,20,22,N20_K2_M12_I22,1,10.60901113476158,10.606020709177905,0.028195547280873208
MILP,Gurobi,,2,20,23,N20_K2_M12_I23,1,11.707858174770594,11.519964446045398,1.6310269845467893
MILP,Gurobi,,2,20,24,N20_K2_M12_I24,1,11.517216020972077,11.517216020972077,0.0
MILP,Gurobi,,2,20,25,N20_K2_M12_I25,1,9.134417024349087,9.134417024349087,0.0
MILP,Gurobi,,2,20,26,N20_K2_M12_I26,1,10.78767125228058,10.778371898036731,0.08627791220993901
MILP,Gurobi,,2,20,27,N20_K2_M12_I27,1,9.268625423174178,9.268625423174178,0.0
MILP,Gurobi,,2,20,28,N20_K2_M12_I28,1,11.114042046802936,11.02858929721697,0.7748293755714564
MILP,Gurobi,,2,20,29,N20_K2_M12_I29,1,10.625123085668289,10.625123085668289,0.0
MILP,Gurobi,,2,20,30,N20_K2_M12_I30,1,9.519152850624335,9.519152850624335,0.0
MILP,Gurobi,,2,20,31,N20_K2_M12_I31,1,8.15932247997046,8.15932247997046,0.0
MILP,Gurobi,,2,20,32,N20_K2_M12_I32,1,7.424685403903448,7.424685403903448,0.0
MILP,Gurobi,,2,20,33,N20_K2_M12_I33,1,8.369812970572829,8.367276941636842,0.030308892052650586
MILP,Gurobi,,2,20,34,N20_K2_M12_I34,1,10.72354076900072,10.72354076900072,0.0
MILP,Gurobi,,2,20,35,N20_K2_M12_I35,1,12.073208117867171,11.395750999450684,5.94482205208892
MILP,Gurobi,,2,20,36,N20_K2_M12_I36,1,8.962483388241887,8.962483388241887,0.0
MILP,Gurobi,,2,20,37,N20_K2_M12_I37,1,11.894951058088267,11.894951058088267,0.0
MILP,Gurobi,,2,20,38,N20_K2_M12_I38,1,9.70301458166936,9.333064856910497,3.963861072763684
MILP,Gurobi,,2,20,39,N20_K2_M12_I39,1,11.219342693474015,11.073467143134527,1.3173430548347251
MILP,Gurobi,,2,20,40,N20_K2_M12_I40,1,9.63158511809626,9.63158511809626,0.0
MILP,Gurobi,,2,20,41,N20_K2_M12_I41,1,10.135488248590931,10.135488248590931,0.0
MILP,Gurobi,,2,20,42,N20_K2_M12_I42,1,10.733794990564956,10.690425105733818,0.4056890572843252
MILP,Gurobi,,2,20,43,N20_K2_M12_I43,1,8.665807851263946,8.665807851263946,0.0
MILP,Gurobi,,2,20,44,N20_K2_M12_I44,1,10.900861900760708,10.864051179034035,0.3388305257408148
MILP,Gurobi,,2,20,45,N20_K2_M12_I45,1,10.762644391552056,10.762644391552056,0.0
MILP,Gurobi,,2,20,46,N20_K2_M12_I46,1,7.23751205513071,7.23751205513071,0.0
MILP,Gurobi,,2,20,47,N20_K2_M12_I47,1,9.147461992914604,9.147461992914604,0.0
MILP,Gurobi,,2,20,48,N20_K2_M12_I48,1,8.9940965808066,8.938954685767174,0.6168718488664536
MILP,Gurobi,,2,20,49,N20_K2_M12_I49,1,9.967439549786736,9.665589950896754,3.122929903124815
MILP,Gurobi,,2,20,50,N20_K2_M12_I50,1,12.291853478009523,12.026184115641406,2.209091095009795
MILP,Gurobi,,2,20,51,N20_K2_M12_I51,1,11.413671811500286,10.735206081507874,6.320006573149219
MILP,Gurobi,,2,20,52,N20_K2_M12_I52,1,10.115689884659009,10.061135757106994,0.5422263337762709
MILP,Gurobi,,2,20,53,N20_K2_M12_I53,1,9.95391339934168,9.95391339934168,0.0
MILP,Gurobi,,2,20,54,N20_K2_M12_I54,1,9.23468985998171,9.179852394051691,0.5973676217882578
MILP,Gurobi,,2,20,55,N20_K2_M12_I55,1,11.136306263176788,11.136306263176788,0.0
MILP,Gurobi,,2,20,56,N20_K2_M12_I56,1,11.183882978153598,11.183882978153598,0.0
MILP,Gurobi,,2,20,57,N20_K2_M12_I57,1,10.95820746793844,10.95820746793844,0.0
MILP,Gurobi,,2,20,58,N20_K2_M12_I58,1,8.609904005210394,8.609904005210394,0.0
MILP,Gurobi,,2,20,59,N20_K2_M12_I59,1,8.814342474103581,8.814342474103581,0.0
MILP,Gurobi,,2,20,60,N20_K2_M12_I60,1,9.193422351730518,9.193422351730518,0.0
MILP,Gurobi,,2,20,61,N20_K2_M12_I61,1,10.20725850124811,10.00202260092664,2.0519439768357937
MILP,Gurobi,,2,20,62,N20_K2_M12_I62,1,8.690761318629418,8.690761318629418,0.0
MILP,Gurobi,,2,20,63,N20_K2_M12_I63,1,10.21532364324247,10.21532364324247,0.0
MILP,Gurobi,,2,20,64,N20_K2_M12_I64,1,9.597599798048634,9.54479670987302,0.5532133347690322
MILP,Gurobi,,2,20,65,N20_K2_M12_I65,1,12.027810585183516,12.027810585183516,0.0
MILP,Gurobi,,2,20,66,N20_K2_M12_I66,1,10.028446566090023,10.028446566090023,0.0
MILP,Gurobi,,2,20,67,N20_K2_M12_I67,1,9.595585023582377,9.593302689707588,0.023790908601654323
MILP,Gurobi,,2,20,68,N20_K2_M12_I68,1,9.622837828668086,9.622837828668086,0.0
MILP,Gurobi,,2,20,69,N20_K2_M12_I69,1,10.378565868410732,10.378565868410732,0.0
MILP,Gurobi,,2,20,70,N20_K2_M12_I70,1,9.900368705449214,9.742300033569336,1.6224984996891503
MILP,Gurobi,,2,20,71,N20_K2_M12_I71,1,11.577215658950724,11.33243465423584,2.160003672497594
MILP,Gurobi,,2,20,72,N20_K2_M12_I72,1,10.203125076980957,10.131680534670586,0.705159840619603
MILP,Gurobi,,2,20,73,N20_K2_M12_I73,1,9.185575759860246,8.90725227162821,3.124684018645854
MILP,Gurobi,,2,20,74,N20_K2_M12_I74,1,10.274723220245823,10.129329986922656,1.4353687115621214
MILP,Gurobi,,2,20,75,N20_K2_M12_I75,1,8.902437055317414,8.902437055317414,0.0
MILP,Gurobi,,2,20,76,N20_K2_M12_I76,1,11.63375913819036,11.63375913819036,0.0
MILP,Gurobi,,2,20,77,N20_K2_M12_I77,1,9.44506847374781,9.26614627391095,1.9309235419758004
MILP,Gurobi,,2,20,78,N20_K2_M12_I78,1,9.099996303400992,9.099996303400992,0.0
MILP,Gurobi,,2,20,79,N20_K2_M12_I79,1,10.657575519799623,10.54392097811992,1.0779153401808765
MILP,Gurobi,,2,20,80,N20_K2_M12_I80,1,10.303517601602977,10.303517601602977,0.0
MILP,Gurobi,,2,20,81,N20_K2_M12_I81,1,10.34438319180131,10.114663710017965,2.271152935671225
MILP,Gurobi,,2,20,82,N20_K2_M12_I82,1,9.764349218910043,9.764349218910043,0.0
MILP,Gurobi,,2,20,83,N20_K2_M12_I83,1,10.282890127505572,10.282890127505572,0.0
MILP,Gurobi,,2,20,84,N20_K2_M12_I84,1,9.415058855136971,9.386692974622848,0.30219248238768187
MILP,Gurobi,,2,20,85,N20_K2_M12_I85,1,11.41188318339472,11.41188318339472,0.0
MILP,Gurobi,,2,20,86,N20_K2_M12_I86,1,10.541289156986888,9.851409912109377,7.0028478261726805
MILP,Gurobi,,2,20,87,N20_K2_M12_I87,1,8.893090424875826,8.851004409587535,0.47549423026727616
MILP,Gurobi,,2,20,88,N20_K2_M12_I88,1,8.567623322776582,8.567623322776582,0.0
MILP,Gurobi,,2,20,89,N20_K2_M12_I89,1,10.19997772779468,10.013391497829373,1.8633669721767507
MILP,Gurobi,,2,20,90,N20_K2_M12_I90,1,10.742103827999628,10.742103827999628,0.0
MILP,Gurobi,,2,20,91,N20_K2_M12_I91,1,10.02365313550152,10.02365313550152,0.0
