category,method,mode,kappa,size,rpd_n,mean_rpd,sd_rpd,time_s,rpd_rank
Meta.,DABC,,3,100,100.0,88.29595199430571,8.543675953575825,418.5681051015854,13
Meta.,DIWO,,3,100,100.0,99.85288163540612,9.731227695192288,903.1323374509813,14
Greedy,AM,greedy,2,10,100.0,11.946349115000212,8.149579768797537,0.04697153568267818,17
Greedy,MVMoE,greedy,2,10,100.0,11.105754533429659,8.17470782271971,0.06304975986480708,15
Greedy,HDRL,greedy,2,10,100.0,6.857766766474778,5.155485465185169,0.047714142799377406,13
Greedy,TDRL,greedy,2,10,100.0,7.800925407459487,5.3828327181074185,0.055136439800262414,14
Greedy,ECHO,greedy,2,10,100.0,11.324485733457182,11.180269308996056,0.04828293085098262,16
Greedy,Co-HeT,greedy,2,10,100.0,4.245431092370637,3.2919704563993433,0.055001034736633245,9
Greedy,AM,greedy,2,20,100.0,16.75936844011077,6.908599418806361,0.087536187171936,16
Greedy,MVMoE,greedy,2,20,100.0,16.20882663054507,6.53633944182332,0.11843894004821774,15
Greedy,HDRL,greedy,2,20,100.0,13.852905939353246,6.75892857429809,0.08836632966995234,13
Greedy,TDRL,greedy,2,20,100.0,22.54838263342152,7.082412673773675,0.10279598712921137,17
Greedy,ECHO,greedy,2,20,100.0,16.03666121267898,7.183333472497097,0.08697144031524655,14
Greedy,Co-HeT,greedy,2,20,100.0,5.909246203372103,3.8062706935704598,0.10463489055633542,8
Greedy,AM,greedy,2,50,100.0,21.569426137436544,6.8689828351731075,0.20833541393280025,12
Greedy,MVMoE,greedy,2,50,100.0,20.703663581161848,6.166718334801865,0.28584207057952876,10
Greedy,HDRL,greedy,2,50,100.0,22.733842226757023,6.615442812376055,0.20992765903472896,13
Greedy,TDRL,greedy,2,50,100.0,22.818863541622147,5.990987314432732,0.24916816711425777,14
Greedy,ECHO,greedy,2,50,100.0,21.262544454525017,6.587401937945121,0.2070806789398193,11
Greedy,Co-HeT,greedy,2,50,100.0,5.499691956379138,2.6213010021237784,0.24653367280960078,2
Greedy,AM,greedy,2,100,100.0,23.481798323870624,5.5313254647361205,0.41204014539718625,10
Greedy,MVMoE,greedy,2,100,100.0,19.491222790374565,6.047267787838245,0.5664134407043457,8
Greedy,HDRL,greedy,2,100,100.0,48.80687005019784,26.599691334862758,0.4201578831672668,14
Greedy,TDRL,greedy,2,100,100.0,18.643514063495715,5.539623484671969,0.48382623434066774,7
Greedy,ECHO,greedy,2,100,100.0,19.81853223594565,6.1189099631162005,0.40461186170578,9
Greedy,Co-HeT,greedy,2,100,100.0,8.200583473309404,3.7083810308431358,0.48899982452392576,2
Greedy,AM,greedy,3,10,100.0,6.9860262230245995,6.016944348594482,0.0553566455841064,14
Greedy,MVMoE,greedy,3,10,100.0,7.474090215834087,6.054923902915002,0.07637711048126217,15
Greedy,HDRL,greedy,3,10,100.0,5.090363691837899,4.224527382857486,0.05605632305145259,13
Greedy,TDRL,greedy,3,10,100.0,8.676089478182075,4.278308650720463,0.06957588195800776,17
Greedy,ECHO,greedy,3,10,100.0,8.383631970423922,7.2968680706808495,0.05497875690460201,16
Greedy,Co-HeT,greedy,3,10,100.0,3.686567614942939,3.4649294041193657,0.06374677181243892,11
Greedy,AM,greedy,3,20,100.0,13.346408761279733,7.208270862420303,0.10389553070068354,14
Greedy,MVMoE,greedy,3,20,100.0,12.857654099185707,7.1770432025026265,0.14530223131179806,13
Greedy,HDRL,greedy,3,20,100.0,12.445668904884894,6.406096968235219,0.1057886457443237,11
Greedy,TDRL,greedy,3,20,100.0,25.779530273382047,7.628930587233815,0.1306112957000732,17
Greedy,ECHO,greedy,3,20,100.0,12.761847754872713,7.002445898764793,0.10305374145507809,12
Greedy,Co-HeT,greedy,3,20,100.0,5.535778827135992,3.5217956951598244,0.12181107759475704,8
Greedy,AM,greedy,3,50,100.0,17.641138626369415,5.647464441942785,0.2544951343536377,10
