method,kappa,size,mechanism,decode,n_instances,objective_mean,objective_sd,distance_mean,tardiness_mean,id_degradation_percent_mean,rank
Co-HeT,3,50,D-Bimodal,sample1280,100,24.608145314458998,3.938068652291611,39.674894523621,9.541396105291058,11.738983252944806,1
Co-HeT,3,50,D-IID,greedy,100,23.295113976002003,3.0557112592903177,40.006923408511994,6.5833045434948705,0.7669832037855691,1
Co-HeT,3,50,D-IID,sample1280,100,22.141689568162995,2.9222653136419368,38.210044174193996,6.073334962129409,0.5035733758473079,1
Co-HeT,3,50,ID,greedy,100,23.230328447818998,1.7983587426342773,40.447972984318,6.012683911323,0.0,1
Co-HeT,3,50,ID,sample1280,100,22.131754975322,1.6480496604638515,38.463082046515,5.800427904129,0.0,1
Co-HeT,3,50,Joint,greedy,100,23.418075665535,3.4225292475822364,40.254551544189006,6.581599786878676,1.1787825697798693,1
Co-HeT,3,50,Joint,sample1280,100,22.131842008529002,3.138652558318623,38.189058055882,6.074625961186042,0.3297664956486369,1
Co-HeT,3,50,P-Lognormal,greedy,100,23.516655205484998,1.8917286954710493,40.878481559756004,6.154828851222499,1.2766281923786156,1
Co-HeT,3,50,P-Lognormal,sample1280,100,22.341075459720006,1.6919664867368938,38.822582092287,5.8595688271527,0.9692622034058269,1
Co-HeT,3,50,P-TruncNormal,greedy,100,23.215426379444,1.792664799533679,40.309836654664,6.1210161042217,-0.018143421852733342,1
Co-HeT,3,50,P-TruncNormal,sample1280,100,22.197580018040004,1.6551129579022015,38.586782493588,5.808377542496301,0.315647189143931,1
ECHO,2,20,D-AntiDistance,greedy,100,13.730849208832996,1.2799722408298433,19.710086841583003,7.751611576079899,20.537985143690243,4
ECHO,2,20,D-AntiDistance,sample1280,100,12.639561336041,1.0226492208661633,18.10157910347,7.177543568610002,20.72668394772201,3
ECHO,2,20,D-Bimodal,greedy,100,12.582306162117503,2.24113701537956,17.704568662644,7.460043661593901,10.453781809652957,3
ECHO,2,20,D-Bimodal,sample1280,100,11.735021791161598,2.1432544809124794,16.506160898212997,6.963882684111061,12.01606282848087,3
ECHO,2,20,D-IID,greedy,100,11.458237699862302,2.234834914243269,17.473739795682,5.44273560404786,0.8087122719372669,4
ECHO,2,20,D-IID,sample1280,100,10.5258206868181,2.1564529684341065,16.027389192583,5.0242521810537,0.6087264053462037,3
ECHO,2,20,ID,greedy,100,11.463002095223697,1.1775155737608658,17.682621564862004,5.243382625580199,0.0,4
ECHO,2,20,ID,sample1280,100,10.541403124329301,1.1109688921552843,16.317083816532,4.7657224321368,0.0,3
ECHO,2,20,Joint,greedy,100,11.353432328105699,2.1832969483529454,17.548026704787002,5.158837951422028,-0.21180261906338999,3
ECHO,2,20,Joint,sample1280,100,10.506180557904601,1.9965204018013343,16.111477928160998,4.90088318765196,0.33443171777680436,3
ECHO,2,20,P-Lognormal,greedy,100,11.574496725202199,1.3160034383209211,17.718694229126996,5.430299221277499,1.0393161520652874,4
ECHO,2,20,P-Lognormal,sample1280,100,10.638133693341599,1.086972662195986,16.346297674185998,4.9299697124954,1.0528546922594508,3
ECHO,2,20,P-TruncNormal,greedy,100,11.3865060758602,1.1038634984764484,17.625697946549998,5.147314205170099,-0.4553819063633511,3
ECHO,2,20,P-TruncNormal,sample1280,100,10.5519007897364,1.017867690773691,16.321665592193998,4.7821359872816,0.2442296583440594,3
ECHO,2,50,D-AntiDistance,greedy,100,21.469947152136005,1.4950524114724344,33.766840972899,9.173053331376103,20.424695470851333,4
ECHO,2,50,D-AntiDistance,sample1280,100,19.642329006193997,1.251423510195744,30.948354454041,8.3363035583473,21.481599287873077,5
ECHO,2,50,D-Bimodal,greedy,100,20.254309211970003,3.7421842208038196,30.815674304958996,9.69294411897625,13.470995612432832,4
ECHO,2,50,D-Bimodal,sample1280,100,18.0390124023,2.957369316280551,28.545271186835002,7.532753617766169,11.574565115991309,4
ECHO,2,50,D-IID,greedy,100,18.225432856679003,2.8499107167011855,30.090362472533002,6.3605032408246664,2.173493470145448,4
ECHO,2,50,D-IID,sample1280,100,16.448794669512,2.380565535644118,27.581433124541004,5.31615621447369,1.6028244388638586,2
ECHO,2,50,ID,greedy,100,17.938334233160003,1.579643870527548,30.123350124361,5.753318341969899,0.0,4
ECHO,2,50,ID,sample1280,100,16.253594753739996,1.3618466117748962,27.262433261871998,5.244756245613001,0.0,2
ECHO,2,50,Joint,greedy,100,18.243740103538002,2.658372589115518,30.179499568938002,6.30798063814652,2.348032914162988,4
ECHO,2,50,Joint,sample1280,100,16.449026612934997,2.24508696838184,27.491182308198002,5.406870917677481,1.7313642344206133,3
ECHO,2,50,P-Lognormal,greedy,100,18.029206314089,1.5326680733188283,30.089244842531997,5.9691677856436005,0.7441092663861624,4
ECHO,2,50,P-Lognormal,sample1280,100,16.434089558129,1.357354726477896,27.560884494776,5.307294621468198,1.1737854080868666,3
ECHO,2,50,P-TruncNormal,greedy,100,17.97973988414,1.6303053637032623,29.908300132750995,6.0511796355244005,0.35975317415759145,4
ECHO,2,50,P-TruncNormal,sample1280,100,16.260812550787,1.340664622250597,27.281782283781,5.239842817783799,0.08648086666258795,2
ECHO,3,20,D-AntiDistance,greedy,100,18.925571954250998,1.6969195508180805,25.008866043088997,12.842277865408597,22.265557566033134,4
ECHO,3,20,D-AntiDistance,sample1280,100,17.548888103961,1.431173337459936,23.804126663210994,11.2936495447129,19.926035995653685,3
ECHO,3,20,D-Bimodal,greedy,100,17.10870073199,2.6395554575419733,23.376702232358,10.840699231626,10.732400518613417,4
ECHO,3,20,D-Bimodal,sample1280,100,16.179529765841,2.639718237164701,22.248059539797,10.1109999918922,10.75392874708683,6
ECHO,3,20,D-IID,greedy,100,16.091187571288998,2.713733585395805,23.041165580749,9.1412095618304,4.033540777900832,4
ECHO,3,20,D-IID,sample1280,100,15.012004629377,2.6693729186682225,21.923703842168003,8.1003054165853,2.7101922696128575,5
ECHO,3,20,ID,greedy,100,15.633352321385999,1.8251356724972085,23.147824115750996,8.118880527021599,0.0,3
ECHO,3,20,ID,sample1280,100,14.723575514555998,1.4775380392062976,21.902812938688008,7.544338090420501,0.0,6
ECHO,3,20,Joint,greedy,100,16.352803046703,2.8905594336500524,23.303629531861,9.401976561544162,6.218178773818504,4
ECHO,3,20,Joint,sample1280,100,15.269612792729,2.527971075949547,22.050027675633004,8.489197909832399,4.884583226652981,5
ECHO,3,20,P-Lognormal,greedy,100,16.319287533764,2.1155322306668602,23.332919540405,9.3056555271119,4.614620231312472,5
ECHO,3,20,P-Lognormal,sample1280,100,15.168933626410999,1.6992597851074385,22.224591140748004,8.1132761120789,3.0580665217235836,6
ECHO,3,20,P-TruncNormal,greedy,100,15.735885752440002,1.7320420945800064,23.302909469598,8.168862035275202,0.9145646984790343,5
ECHO,3,20,P-TruncNormal,sample1280,100,14.70993814111,1.4613056763337615,21.841681766513,7.578194515708301,-0.028666587782921665,6
